,Neighborhood,Lat,Long
538,PROSPECT PARK - EAST RIVER ROAD,44.96949537,-93.22054857
539,PHILLIPS WEST,44.95284187,-93.26516708
541,EAST PHILLIPS,44.95733335,-93.25177712
542,PROSPECT PARK - EAST RIVER ROAD,44.96975782,-93.22283192
543,LYNNHURST,44.91145098,-93.30613774
544,BOTTINEAU,45.01315711,-93.26793993
545,BELTRAMI,44.9951,-93.24733
546,VENTURA VILLAGE,44.9617931,-93.26765969
547,BRYN - MAWR,44.96402898,-93.32393501
549,KENNY,44.89880251,-93.30229859
551,DOWNTOWN WEST,44.97584579,-93.26666259
553,MORRIS PARK,44.90085789,-93.21146041
554,HOLLAND,45.00988213,-93.2516868
555,DOWNTOWN WEST,44.97795735,-93.26394915
556,JORDAN,45.00535671,-93.31053496
558,VENTURA VILLAGE,44.95912104,-93.26055709
559,STEVENS SQUARE - LORING HEIGHTS,44.96458504,-93.27403296
560,HAWTHORNE,45.01296,-93.28801999999999
562,SEWARD,44.96276884,-93.22900199
564,VICTORY,45.03042664,-93.3161315
566,COOPER,44.94595109,-93.20762016
567,DOWNTOWN WEST,44.9768075,-93.27643103
568,BRYN - MAWR,44.97445633,-93.31471795
569,SHERIDAN,45.00418562,-93.26538838
570,NEAR - NORTH,44.99927161,-93.29814568
571,ELLIOT PARK,44.97352012,-93.26583963
572,LIND - BOHANON,45.05022275,-93.29024317
573,SEWARD,44.96275,-93.24524
574,NORTHROP,44.91520327,-93.26263399999999
575,LOWRY HILL,44.9698756,-93.29458073
576,ECCO,44.94566381,-93.30086095
577,HAWTHORNE,45.00594,-93.29305
579,LONGFELLOW,44.95264966,-93.23715551
580,ELLIOT PARK,44.97044349,-93.25548897
581,KING FIELD,44.92233153,-93.28054067
582,NORTH LOOP,44.982576,-93.26841736
583,DOWNTOWN WEST,44.97845913,-93.27733144
584,LORING PARK,44.96692818,-93.28322844
585,DOWNTOWN WEST,44.97622224,-93.27377326
586,SUMNER - GLENWOOD,44.98022905,-93.28983248
594,ARMATAGE,44.90245195,-93.31119002
595,LOGAN PARK,45.0009,-93.25245
598,NORTHROP,44.9139155,-93.25623499
599,JORDAN,45.00602582,-93.31052998
601,PHILLIPS WEST,44.95283542,-93.26898282
602,ELLIOT PARK,44.96799,-93.25819
603,HAWTHORNE,45.00478744,-93.2802184
604,NORTH LOOP,44.98720974,-93.28094392
605,NEAR - NORTH,44.99521726,-93.28799387
606,NORTHROP,44.92423248,-93.26253752
607,WHITTIER,44.95283819,-93.27660134
608,SHERIDAN,45.00035258,-93.26767192
610,COMO,44.98883475,-93.21772446
611,HOLLAND,45.01108,-93.2567
612,FOLWELL,45.01407589,-93.29811351
614,DOWNTOWN WEST,44.98076,-93.26898
616,PHILLIPS WEST,44.9592,-93.26898
617,LONGFELLOW,44.9440713,-93.22841401
618,FIELD,44.9170031,-93.26901183
620,CENTRAL,44.94921413,-93.27157562
621,MIDTOWN PHILLIPS,44.95100797,-93.25375156
622,VICTORY,45.0286109,-93.31098148
623,CENTRAL,44.93866796,-93.26508332
624,LOWRY HILL EAST,44.96229704,-93.29163482
625,POWDERHORN PARK,44.94745786,-93.25377331
626,LOWRY HILL EAST,44.94836420000001,-93.29001302
627,HAWTHORNE,45.00683494,-93.29178306
629,SUMNER - GLENWOOD,44.98770598,-93.29092459
631,POWDERHORN PARK,44.94746021,-93.25122404
632,MARCY HOLMES,44.98595859,-93.25274837
633,COMO,44.9905981,-93.22153381
634,ELLIOT PARK,44.96759657,-93.26255126
635,FOLWELL,45.01412291,-93.30444654
636,JORDAN,45.0069261,-93.30948813
638,VENTURA VILLAGE,44.95957971,-93.25354148
639,ELLIOT PARK,44.971400200000005,-93.25931171
640,MINNEHAHA,44.90809115,-93.22031698
641,MIDTOWN PHILLIPS,44.95151762,-93.26010183
642,WILLARD - HAY,44.99151,-93.30951
643,KEEWAYDIN,44.91258786,-93.2332566
644,BELTRAMI,44.9981802,-93.24607985
645,KING FIELD,44.93140263,-93.27662269
646,EAST ISLES,44.96002262,-93.29564866
647,KENNY,44.90417928,-93.28830779
649,MCKINLEY,45.01579673,-93.28649282
650,CEDAR - ISLES - DEAN,44.9489,-93.31649
651,COMO,44.99147193,-93.23267618
653,HOWE,44.94050118,-93.2216771
655,HAWTHORNE,45.00864826,-93.29431189
657,HOWE,44.93775101,-93.22740358
658,HOWE,44.93688073,-93.21020365
659,LOWRY HILL EAST,44.95286437,-93.29798519
660,JORDAN,45.00688584,-93.3006239
662,LYNNHURST,44.90965298,-93.30740055
663,KING FIELD,44.92415856,-93.2779314
664,WEBBER - CAMDEN,45.03237162,-93.28861794
665,MCKINLEY,45.01296,-93.28801999999999
666,DOWNTOWN WEST,44.9796,-93.27483000000001
668,NORTHROP,44.92241815,-93.25239524
669,SUMNER - GLENWOOD,44.98678098,-93.29092905
670,LYNDALE,44.94836,-93.27792
672,COMO,44.98872555,-93.23203967
673,HAWTHORNE,45.0113507,-93.28643056
674,BANCROFT,44.93324806,-93.26249333
675,FULTON,44.90617867,-93.32391362
676,COMO,44.98783535,-93.22625329
677,VENTURA VILLAGE,44.95913317,-93.25174742
678,DOWNTOWN WEST,44.97718,-93.2759
679,LIND - BOHANON,45.03942872,-93.28731427
680,ST. ANTHONY EAST,44.99689303,-93.25307263
681,JORDAN,45.00482534,-93.29684364
683,DOWNTOWN WEST,44.97675,-93.27868000000001
684,DOWNTOWN WEST,44.9783385,-93.27106522
686,LONGFELLOW,44.95017,-93.22998
687,EAST ISLES,44.95189435,-93.30035655
