tractID,mean,standard_error
t7002400,75.8,1.7373
t7002600,75.8,1.6814
t7002900,81,2.6239
t7003000,76.9,1.3537
t7003300,74.9,2.132
t7003400,76.6,1.5243
t7003600,72.5,1.5345
t7003700,83.6,3.9027
t7003800,76.9,1.4588
t7010100,75.7,1.2512
t7010200,82.3,2.946
t7010300,79.3,0.8909
t7010400,80.9,2.7942
t7010500,83.1,1.8546
t7010600,81.9,1.5046
t7011100,79.9,0.9821
t7011200,79.4,1.4965
t7011300,81.8,1.7468
t7011400,77.8,1.7632
t7012100,76.7,1.3224
t7012200,72.2,1.511
t7012300,77.1,1.6261
t7012400,79,1.5282
t7012500,78.9,2.0382
t7012600,75.5,1.2029
t7012700,78.4,0.7026
t7012800,79.4,1.3852
t7013100,75.7,1.2752
t7013200,75.2,1.1031
t7013300,74,1.2808
t7013400,81.9,1.2751
t7013500,75.8,1.8599
t7013600,80.8,1.6886
t7013800,75.8,1.6397
t7013900,81.3,2.5934
t7014000,80,1.2884
t7014100,76.4,0.6717
t7015100,80.7,1.8876
t7015200,78.6,1.087
t7015300,79,1.1403
t7015400,80.7,1.6774
t7015500,83.8,2.227
t7015600,69,1.8384
t7015800,79.1,2.6475
t7020100,79.8,2.4037
t7020202,79.5,2.2346
t7020300,77.9,2.331
t7020400,77.2,1.4948
t7020500,77.9,1.0123
t7020600,82.3,1.8115
t7030102,74.6,1.0414
t7030103,78.1,1.1046
t7030104,82.4,1.6986
t7030106,83.5,3.905
t7030107,80.5,1.0662
t7030201,80.5,1.2242
t7030202,84.4,1.8839
t7060101,78.7,1.5748
t7060102,82.5,2.3413
t7060103,80.9,1.1702
t7060104,80.2,1.3514
t7060105,74.8,1.1244
t7060201,82.4,2.023
t7060202,77.8,1.3306
t7060301,74.8,1.3953
t7060302,78.8,1.1107
t7060401,78.5,2.3463
t7060402,78.8,1.5392
t7060502,78.5,1.1135
t7060503,80.1,1.5286
t7060505,79.1,1.1778
t7060506,79,1.1373
t7060507,83.2,3.3038
t7060508,79.7,1.767
t7060509,79.4,1.3219
t7060603,84.3,1.7174
t7060604,86.5,1.6488
t7060605,84.1,3.5305
t7060606,82.3,1.6291
t7060709,82.6,3.4083
t7060710,78.4,1.2531
t7060711,79.4,1.3343
t7060713,85.8,3.8221
t7060714,80.5,1.856
t7060716,83.2,3.3653
t7060721,80.5,2.9194
t7060725,82.7,2.2617
t7060726,75.8,1.8245
t7060727,82.6,2.3889
t7060728,80.5,1.4031
t7060729,80.7,1.2669
t7060731,84,2.0537
t7060732,80.4,2.5632
t7060733,84.8,2.9466
t7060734,79.5,1.9383
t7060735,82.3,2.6587
t7060737,86.4,2.5788
t7060738,82.9,3.4047
t7060739,78.6,1.4
t7060741,81.4,2.2249
t7060742,80.7,1.9468
t7060744,80.8,1.5864
t7060745,81.2,1.3661
t7060746,78.3,1.2781
t7060747,81.4,1.2114
t7060748,82.6,2.706
t7060749,79.7,2.4197
t7060750,79.2,1.6464
t7060806,83.7,2.5295
t7060811,79.7,1.1041
t7060812,79,1.3697
t7060813,80.4,1.5106
t7060814,81.8,3.0601
t7060815,80.8,1.6045
t7060816,80.8,1.1854
t7060817,80.7,2.2812
t7060818,79.4,2.4908
t7060820,80.6,1.5498
t7060821,80.8,1.6594
t7060822,80.6,3.9888
t7060823,80.5,3.523
t7060824,77.3,1.0524
t7060825,76.9,2.4863
t7060826,82.4,2.0419
t7060828,76.9,1.2846
t7060829,79.5,2.3167
t7060902,79.1,1.7879
t7060904,78.3,1.2736
t7060905,78,1.4614
t7060906,79.4,2.4602
t7060907,80.8,3.1521
t7061001,84.8,2.2717
