year,name,Filings,Evictions
2013,t3025403,28,13
2013,t3025601,11,5
2013,t3025605,13,3
2013,t3025701,22,8
2013,t3025702,13,3
2013,t3025801,10,4
2013,t3025803,15,6
2013,t3025903,15,3
2013,t3025906,16,8
2013,t3026006,13,5
2013,t3026007,24,8
2013,t3026016,16,4
2013,t3026019,35,7
2013,t3026104,27,7
2013,t3026207,12,1
2013,t3026402,25,6
2013,t3026403,11,3
2013,t3026507,12,2
2013,t3026508,15,4
2013,t3026510,12,3
2013,t3026511,37,15
2013,t3026512,15,3
2013,t3026514,53,13
2013,t3026611,13,1
2013,t3026613,10,2
2013,t3026711,13,3
2013,t3026715,14,4
2013,t3026807,67,26
2013,t3026809,145,46
2013,t3026810,127,44
2013,t3026811,31,6
2013,t3026814,29,5
2013,t3026815,23,5
2013,t3026816,42,7
2013,t3026818,24,11
2013,t3026819,163,56
2013,t3026820,20,3
2013,t3026822,25,3
2013,t3026903,17,7
2013,t3026906,13,5
2013,t3026907,23,3
2013,t3026909,12,3
2013,t3026910,33,11
2013,t3027203,18,6
2013,t3027300,16,5
2013,t3027501,18,8
2013,t3027601,15,7
2013,t3027602,25,3
2013,t3100200,45,22
2013,t3100400,43,23
2013,t3100700,34,15
2013,t3100800,55,22
2013,t3100900,107,49
2013,t3101200,14,6
2013,t3101300,32,14
2013,t3101600,75,39
2013,t3101800,24,8
2013,t3101900,20,8
2013,t3102000,39,15
2013,t3102100,65,39
2013,t3102300,44,15
2013,t3102500,35,14
2013,t3102600,26,7
2013,t3102800,65,27
2013,t3102900,31,15
2013,t3103100,14,3
2013,t3103400,24,10
2013,t3103700,16,8
2013,t3104000,21,10
2013,t3104100,36,10
2013,t3104800,28,6
2013,t3104900,27,11
2013,t3105201,15,7
2013,t3105204,31,12
2013,t3105400,16,8
2013,t3105600,69,20
2013,t3105700,88,42
2013,t3106000,35,8
2013,t3106200,17,5
2013,t3106500,18,8
2013,t3106700,29,10
2013,t3106900,24,10
2013,t3107000,25,5
2013,t3107400,17,7
2013,t3108600,39,19
2013,t3108700,20,11
2013,t3108800,33,12
2013,t3109200,18,9
2013,t3109300,27,14
2013,t3109700,19,6
2013,t3110000,13,2
2013,t3110400,12,1
2013,t3110500,14,4
2013,t3110800,13,6
2013,t3110900,11,2
2013,t3111100,10,4
2013,t3125500,19,8
2013,t3125600,15,5
2013,t3125700,67,28
2013,t3125800,50,24
2013,t3125900,16,5
2013,t3126000,54,20
2013,t3126100,48,12
2013,t3126200,29,9
2014,t3000101,11,4
2014,t3000102,64,33
2014,t3000300,27,9
2014,t3001100,12,4
2014,t3001700,17,8
2014,t3002200,32,17
2014,t3002700,54,27
2014,t3003200,23,11
2014,t3003300,36,10
2014,t3005901,37,13
2014,t3005902,45,20
2014,t3006800,62,29
2014,t3007700,32,14
2014,t3007801,29,8
2014,t3008200,58,24
2014,t3008300,13,5
2014,t3008400,21,5
2014,t3008500,24,9
2014,t3009500,10,3
2014,t3009600,14,3
2014,t3011800,14,2
2014,t3012003,29,13
2014,t3012101,47,23
2014,t3020200,77,27
2014,t3020301,15,7
2014,t3020302,13,5
2014,t3020304,10,3
2014,t3020400,44,15
2014,t3020500,20,8
2014,t3020700,11,4
2014,t3020804,17,5
2014,t3020903,12,4
2014,t3021001,40,15
2014,t3021200,18,7
2014,t3021300,35,19
2014,t3021400,14,5
2014,t3021501,21,5
2014,t3021502,19,6
2014,t3021503,19,6
2014,t3021504,17,7
2014,t3021505,20,6
2014,t3021602,11,4
2014,t3021700,10,2
2014,t3022200,11,3
2014,t3022302,41,22
2014,t3022400,31,17
2014,t3022700,22,14
2014,t3022901,13,4
2014,t3023000,27,5
2014,t3023200,46,18
2014,t3023300,31,9
2014,t3023400,34,13
2014,t3024003,14,4
2014,t3024100,10,4
2014,t3024300,28,15
2014,t3024400,25,7
2014,t3024600,12,4
2014,t3024801,10,3
2014,t3024802,18,7
2014,t3024903,38,13
2014,t3025100,43,14
